Store,Date,Item,Price,UnitType,Units
testing,9/19/2019,COMPLIMENTS ORGANIC Orange Juice,$3.99,count,1
testing,9/19/2019,COMPLIMENTS ORGANIC Salad Blends,$8.00,count,2
testing,9/19/2019,COMPLIMENTS Orange Pekoe Tea,$2.99,count,1
testing,9/19/2019,COMPLIMENTS Processed Cheese Slices,$3.99,count,1
testing,9/19/2019,COMPLIMENTS Pudding Cups,$5.00,count,4
testing,9/19/2019,COMPLIMENTS Salted Butter,$3.99,count,1
testing,9/19/2019,COMPLIMENTS Shepherd's Pie,$8.99,count,1
testing,9/19/2019,COMPLIMENTS Soft Drinks,$1.00,count,1
testing,9/19/2019,COMPLIMENTS Stuffed Chicken Cutlettes,$5.00,count,2
testing,9/19/2019,COMPLIMENTS Taco Shells,$2.00,count,1
testing,9/19/2019,COMPLIMENTS or COMPLIMENTS BALANCE Canned Peaches,$1.79,count,1
testing,9/19/2019,CONTOUR Next Test Strips - 100 AIR MILES® Bonus Miles,$79.99,count,1
testing,9/19/2019,"COWS CREAMERY 1, 2 or 3 Year Aged Cheddar Cheese",STARTING AT $7.99,count,1
testing,9/19/2019,Cabbage,$0.69,lb,1
testing,9/19/2019,Carrots,$5.00,count,2
testing,9/19/2019,Cat Chow Dry Cat Food,$6.99,count,1
testing,9/19/2019,Children's ADVIL Tablets - 10 AIR MILES® Bonus Miles,$7.99,count,1
testing,9/19/2019,DANONE Oikos Greek Yogurt*,$9.99,count,3
testing,9/19/2019,DARE Bear Paws- 10 AIR MILES® Bonus Miles,$4.99,count,1
testing,9/19/2019,DARE Cookies - 10 AIR MILES® Bonus Miles,$5.00,count,2
testing,9/19/2019,DARE Crackers - 10 AIR MILES® Bonus Miles,$5.00,count,2
testing,9/19/2019,DARE Econo Cookies,$1.99,count,1
testing,9/19/2019,DEMPSTER'S English Muffins,$1.99,count,1
testing,9/19/2019,DEMPSTER'S Tortillas - 10 AIR MILES® Bonus Miles,$3.99,count,1
testing,9/19/2019,DEPEND or POISE Products - 20 AIR MILES® Bonus Miles,$15.99,count,1
testing,9/19/2019,DIAL Body Wash 473 mL or VASELINE Lotion 295 mL,$3.69,count,1
testing,9/19/2019,DOVE Beauty Bar,$5.00,count,2
testing,9/19/2019,DR. OETKER Ristorante or Casa Di Mama Pizza,$2.97,count,1
testing,9/19/2019,Design Your Own Bouquet,$20.00            or 7.99 each,count,3
testing,9/19/2019,"Dinner Includes: • A fully cooked, fresh, never frozen, grain-fed Turkey 4 kg • Whole Cranberry Chutney 500 mL • Traditional Gravy 500 mL • Four In-Store Roasted Fall Vegetable Side Dishes 340-454 g over 5 varieties to choose from",$99.99,count,1
testing,9/19/2019,E.D. SMITH Pie Filling,$4.49,count,1
testing,9/19/2019,EL MONTEREY Burritos,$5.69,count,1
testing,9/19/2019,ENERGIZER Batteries,$3.99,count,1
testing,9/19/2019,ENFAMIL A+ Ready to Feed Formula - 10 AIR MILES® Bonus Miles,$49.99,count,1
testing,9/19/2019,EVIAN Spring Water - 20 AIR MILES® Bonus Miles,$6.49,count,1
testing,9/19/2019,Excel Gum Bottles,$3.99,count,1
testing,9/19/2019,FARKAY Noodles,$6.00,count,2
testing,9/19/2019,"FONTAINE SANTÉ Bruschetta,",$4.99,count,1
testing,9/19/2019,FONTAINE SANTÉ Topped Hummus,$3.99,count,1
testing,9/19/2019,FRANK'S RedHot Sauce,$5.99,count,1
testing,9/19/2019,French or Italian Bread,$1.99,count,1
testing,9/19/2019,Fresh Boneless Pork,$2.99,lb,1
testing,9/19/2019,Fresh Pacific Snapper Fillets,$8.99,lb,1
testing,9/19/2019,Fresh Pork Side Ribs,$3.99            lb 8.8,count,1
testing,9/19/2019,GAIN Laundry Detergent - 5 AIR MILES® Bonus Miles,$3.97,count,1
testing,9/19/2019,GENERAL MILLS Cheerios,$3.99,count,1
testing,9/19/2019,GILLETTE Mach3 or Venus Cartridges,$26.99,count,1
testing,9/19/2019,GOODDRINK Tea,$4.00,count,2
testing,9/19/2019,GRACIOUS LIVING Waist Fitter Laundry Basket,$6.88,count,1
testing,9/19/2019,GREEN GIANT Valley Selections,$2.69,count,1
testing,9/19/2019,Gala Apples,$1.29,lb,1
testing,9/19/2019,HEALTHY CHOICE Simply Steamers,$2.99,count,1
testing,9/19/2019,HERBAL ESSENCES Hair Care - 30 AIR MILES® Bonus Miles,$2.49,count,1
testing,9/19/2019,HIGH LINER Wild Pacific Salmon or Cod Fillets,$6.99,count,1
testing,9/19/2019,HUGGIES Big Pack Pull-Ups - 25 AIR MILES® Bonus Miles,$22.99,count,1
testing,9/19/2019,Hothouse Tomatoes,$1.49,lb,1
testing,9/19/2019,HÄAGEN-DAZS or GOODNORTH Ice Cream,$4.99,count,1
testing,9/19/2019,IÖGO Yogurt,$5.00,count,2
testing,9/19/2019,JOHNSONVILLE Mild Italian Sausages,$4.99,count,1
testing,9/19/2019,KELLOGG'S Cereal - 75 AIR MILES® Bonus Miles,$3.99,count,1
testing,9/19/2019,KRAFT Peanut Butter 750 g-1 kg or Jam 500 mL or NUTELLA Hazelnut Spread 375 g,$3.77,count,1
testing,9/19/2019,KRAFT Pizza Kit,$6.99,count,1
testing,9/19/2019,Kalanchoe,$8.99,count,1
testing,9/19/2019,Kitchen Prepared Meatloaf - 15 AIR MILES® Bonus Miles,$12.99            ea,count,1
testing,9/19/2019,LAVAZZA Espresso,$5.99,count,1
testing,9/19/2019,LAY'S Chips,$6.00,count,2
testing,9/19/2019,LECLERC Célébration Cookies,$2.79,count,1
testing,9/19/2019,LIBERTÉ Méditerranée Yogurt,$5.49,count,1
testing,9/19/2019,LIPTON Soup,$2.29,count,1
testing,9/19/2019,LOU'S Quick-n-Easy Fully Cooked Entrées,$7.99,count,1
testing,9/19/2019,LOU'S Sliced Boneless Cured Pork Loin,$4.99,count,1
testing,9/19/2019,LYSOL Disinfecting Wipes,$5.00,count,2
testing,9/19/2019,Lean Ground Beef,$2.99,lb,1
testing,9/19/2019,LÄRABAR Energy Bars,$10.00,count,10
testing,9/19/2019,"MAESE MIGUEL Manchego, ROCINANTE Iberico or Cabra Cheese",STARTING AT $5.99,count,1
testing,9/19/2019,MANITOBA HARVEST Hemp Hearts,$5.99,count,1
testing,9/19/2019,MAPLE LODGE FARMS Chicken Bacon,STARTING AT $3.99,count,1
testing,9/19/2019,MATLAW'S Stuffed Scallops,$4.99,count,1
testing,9/19/2019,MCCAIN Diced Hashbrowns,$1.99,count,1
testing,9/19/2019,MCSWEENEY'S Jerky,$4.99,count,1
testing,9/19/2019,MINUTE MAID 100% Juice - 5 AIR MILES® Bonus Miles,$3.49,count,1
testing,9/19/2019,MOOSEHEAD Lager,promo retail $14.45,count,1
testing,9/19/2019,Mini Croissants - 10 AIR MILES® Bonus Miles,$3.29,count,1
testing,9/19/2019,NATREL Fine-Filtered Milk,$4.44,count,1
testing,9/19/2019,NATURE VALLEY Sweet & Salty Bars,$1.99,count,1
testing,9/19/2019,NESTLÉ Gerber Snacks,$1.99,count,1
testing,9/19/2019,NICORETTE Gum - 15 AIR MILES® Bonus Miles,$14.99,count,1
testing,9/19/2019,Naturegg Simply Egg Whites - 6 AIR MILES® Bonus Miles,$3.79,count,1
testing,9/19/2019,Nestle Coffee-mate,$2.69,count,1
testing,9/19/2019,OLD DUTCH Dutch Crunch or Baked Chips,$6.00,count,2
testing,9/19/2019,OLYMEL Serrano Ham,100 g,count,"STARTING AT
$3.49¢

          "
testing,9/19/2019,OLYMEL Sliced Deli Meat,$5.99            ea,count,1
testing,9/19/2019,OLYMPIC Krema Yogurt*,$7.00,count,2
testing,9/19/2019,ORAL-B Power Toothbrush,$6.99,count,1
testing,9/19/2019,ORGANIC Cauliflower,$4.49,count,1
testing,9/19/2019,ORGANIC Grape Tomatoes,$3.79,count,1
testing,9/19/2019,ORGANIC Red or Green Seedless Grapes,$3.49,lb,1
testing,9/19/2019,OTEAS Tea Bags,reg $6.99            ea,count,1
testing,9/19/2019,OXFORD Wild Blueberries,$8.99,count,1
testing,9/19/2019,PAMPERS or HUGGIES Super Big Pack Diapers,$17.99,count,1
testing,9/19/2019,PARIS PATÉ Spread,$4.98,count,3
testing,9/19/2019,PILLSBURY Pizza Pops - 20 AIR MILES® Bonus Miles,$5.00,count,2
testing,9/19/2019,PINTY'S Chicken Wings,$13.99,count,1
testing,9/19/2019,PLANTERS Dry Roasted Peanuts,$4.99,count,1
testing,9/19/2019,PLEDGE Surface Cleaner,$5.99,count,1
testing,9/19/2019,PRODUCT OF CANADA PILLER'S Salami,$2.99,100,1
testing,9/19/2019,PURINA Beneful Dry Dog Food,$18.99,count,1
testing,9/19/2019,PURINA One Dry Cat Food,$11.99            ea,count,1
testing,9/19/2019,Peaches,$5.99,count,1
testing,9/19/2019,Peek Freans Cookies,$2.99,count,1
testing,9/19/2019,Prepared In-Store Crab Stuffed Mushroom Caps,$8.99,lb,1
testing,9/19/2019,QUAKER Crispy Minis,$4.44,count,2
testing,9/19/2019,RESER'S Main St. Bistro Sides,STARTING AT $4.99,count,1
testing,9/19/2019,RICEWORKS Gourmet Rice Snacks,$2.99,count,1
testing,9/19/2019,ROYALE Bathroom Tissue - 20 AIR MILES® BONUS MILES,$5.99,count,1
testing,9/19/2019,RUDOLPH'S Bavarian Bread,$2.49,count,1
testing,9/19/2019,Raw Pecans,$3.69,100,1
testing,9/19/2019,Rutabaga,$0.99,lb,1
testing,9/19/2019,SAN PELLEGRINO Sparking Fruit Beverage,$5.49,count,1
testing,9/19/2019,SCHNEIDERS Pepperettes,$7.99,count,1
testing,9/19/2019,SCHNEIDERS Sausages,$5.99,count,1
testing,9/19/2019,SEALTEST Chocolate Milk,$3.99,count,1
testing,9/19/2019,SENSATIONS BY COMPLIMENTS Balsamic Vinegar of Modena -10 AIR MILES® Bonus Miles,$8.99,count,1
testing,9/19/2019,SENSATIONS BY COMPLIMENTS Coffee K-Cup® Pods,$14.99,count,1
testing,9/19/2019,SENSATIONS BY COMPLIMENTS Ice Cream Bars,$4.99,count,1
testing,9/19/2019,SENSATIONS BY COMPLIMENTS Kettle Chips,$5.00,count,2
testing,9/19/2019,SENSATIONS BY COMPLIMENTS Pole N Line Tuna,$2.59,count,1
testing,9/19/2019,SENSIBLE PORTIONS Veggie Straws,$14.99,count,1
testing,9/19/2019,SIMILAC Non-GMO Powders,$39.99,count,1
testing,9/19/2019,SIMPLY Almond,$4.49,count,1
testing,9/19/2019,SMARTFOOD,$6.50,count,2
testing,9/19/2019,SPONGETOWELS Econo Paper Towels,$2.00,count,1
testing,9/19/2019,STEFANO Pasta or Pizza Sauce - 10 AIR MILES® Bonus Miles,STARTING AT $5.99,count,1
testing,9/19/2019,STELLA ARTOIS,promo retail $13.95,count,1
testing,9/19/2019,SUMMER FRESH Dips,$3.49,count,1
testing,9/19/2019,SWANSON Pot Pies - 10 AIR MILES® Bonus Miles,$4.00,count,2
testing,9/19/2019,SWISS CHALET BBQ Pork Back Ribs,$7.99,count,1
testing,9/19/2019,Squash,$0.99,lb,1
testing,9/19/2019,Strawberries,$5.00,count,2
testing,9/19/2019,Stuffed Mushroom Caps,$4.99,lb,1
testing,9/19/2019,Succulents,$8.99,count,1
testing,9/19/2019,TIDE Laundry Detergent,$19.99,count,1
testing,9/19/2019,TIM HORTONS Soup,$6.00,count,2
testing,9/19/2019,TOPPITS Jumbo Cooked Shrimp,$8.99,count,1
testing,9/19/2019,TROPICANA Premium Orange Juice,$5.99,count,1
testing,9/19/2019,TRUE NORTH Atlantic Salmon Cakes,$2.99,count,1
testing,9/19/2019,TYLENOL or MOTRIN Pain Relief Products - 15 AIR MILES® Bonus Miles,$9.99,count,1
testing,9/19/2019,Trail Mix,$0.99,100,1
testing,9/19/2019,U BY KOTEX Liners,$7.99,count,1
testing,9/19/2019,UNCLE BEN'S Converted Rice,$7.29,count,1
testing,9/19/2019,VACHON Snack Cakes - 10 AIR MILES® Bonus Miles,$5.00,count,2
testing,9/19/2019,VEGA One Protein,$49.99,count,1
testing,9/19/2019,VILLAGGIO Bread,$5.00,count,2
testing,9/19/2019,WASA Light Rye Crispbread,$5.00,count,2
testing,9/19/2019,WATERLOO Craft Lager,retail $2.50,count,1
testing,9/19/2019,WATERVIEW MARKET Shrimp,$8.99,count,1
testing,9/19/2019,WILDLY DELICIOUS Cooking Sauces,$4.99,count,1
testing,9/19/2019,WONDERFUL Pistachios,$4.99,count,1
testing,9/19/2019,Wild Sockeye Salmon Fillets,$3.49,count,1
testing,9/19/2019,YVES VEGGIE CUISINE Veggie Hot Dogs,$3.49,count,1
testing,9/19/2019,ACQUA PANNA Water,$5.00,count,2
testing,9/19/2019,ADAMS Peanut Butter,$7.99,count,1
testing,9/19/2019,BAHLSEN Waffeletten Milk Chocolate Rolled Wafers,$3.49,count,1
testing,9/19/2019,COMPLIMENTS BALANCE Instant Oatmeal,$6.00,count,2
testing,9/19/2019,BETTY CROCKER Mug Cakes,$3.49,count,1
testing,9/19/2019,Boulangerie Grissol Melba Toast - 10 AIR MILES® Bonus Miles,$5.00,count,2
testing,9/19/2019,CALIFIA FARMS Cold Brew Latte*,$5.99,count,1
testing,9/19/2019,CAMPBELL'S Ready to Eat or HABITANT Soup,$5.00,count,2
testing,9/19/2019,"CATELLI Pasta 375-500 g, Minis 375 g (excludes lasagna), HUNT'S Thick & Rich Pasta Sauce 680 mL or KNORR Sidekicks 112-167 g",$0.99,count,1
testing,9/19/2019,COCA-COLA or PEPSI Soft Drinks,$6.99,count,1
testing,9/19/2019,"COCA-COLA, BARQ'S or A&W Specialty Sodas - 20 AIR MILES® Bonus Miles",$4.99,count,1
testing,9/19/2019,COMPLIMENTS BALANCE Frozen Novelties,$4.99,count,1
testing,9/19/2019,COMPLIMENTS Canola Oil - 5 AIR MILES® Bonus Miles,$3.49,count,1
testing,9/19/2019,COMPLIMENTS Flour,$3.49,count,1
testing,9/19/2019,COMPLIMENTS Ginger Beef,$7.99,count,1
testing,9/19/2019,COMPLIMENTS Honey,$8.99,count,1
testing,9/19/2019,COMPLIMENTS Instant Coffee,$3.49,count,1
testing,9/19/2019,COMPLIMENTS ORGANIC Frozen Fruit,$6.99,count,1
testing,9/19/2019,COMPLIMENTS ORGANIC Orange Juice,$3.99,count,1
testing,9/19/2019,COMPLIMENTS Orange Pekoe Tea,$2.99,count,1
testing,9/19/2019,COMPLIMENTS Pudding Cups,$5.00,count,4
testing,9/19/2019,COMPLIMENTS Shepherd's Pie,$8.99,count,1
testing,9/19/2019,COMPLIMENTS Soft Drinks,$1.00,count,1
testing,9/19/2019,COMPLIMENTS Stuffed Chicken Cutlettes,$5.00,count,2
testing,9/19/2019,COMPLIMENTS Taco Shells,$2.00,count,1
testing,9/19/2019,COMPLIMENTS or COMPLIMENTS BALANCE Canned Peaches,$1.79,count,1
testing,9/19/2019,DARE Bear Paws- 10 AIR MILES® Bonus Miles,$4.99,count,1
testing,9/19/2019,DARE Cookies - 10 AIR MILES® Bonus Miles,$5.00,count,2
testing,9/19/2019,DARE Crackers - 10 AIR MILES® Bonus Miles,$5.00,count,2
testing,9/19/2019,DR. OETKER Ristorante or Casa Di Mama Pizza,$2.97,count,1
testing,9/19/2019,Design Your Own Bouquet,$20.00            or 7.99 each,count,3
testing,9/19/2019,"Dinner Includes: • A fully cooked, fresh, never frozen, grain-fed Turkey 4 kg • Whole Cranberry Chutney 500 mL • Traditional Gravy 500 mL • Four In-Store Roasted Fall Vegetable Side Dishes 340-454 g over 5 varieties to choose from",$99.99,count,1
testing,9/19/2019,E.D. SMITH Pie Filling,$4.49,count,1
testing,9/19/2019,EL MONTEREY Burritos,$5.69,count,1
testing,9/19/2019,EVIAN Spring Water - 20 AIR MILES® Bonus Miles,$6.49,count,1
testing,9/19/2019,Excel Gum Bottles,$3.99,count,1
testing,9/19/2019,FARKAY Noodles,$6.00,count,2
testing,9/19/2019,"FONTAINE SANTÉ Bruschetta,",$4.99,count,1
testing,9/19/2019,FRANK'S RedHot Sauce,$5.99,count,1
testing,9/19/2019,GENERAL MILLS Cheerios,$3.99,count,1
testing,9/19/2019,GOODDRINK Tea,$4.00,count,2
testing,9/19/2019,GREEN GIANT Valley Selections,$2.69,count,1
testing,9/19/2019,HEALTHY CHOICE Simply Steamers,$2.99,count,1
testing,9/19/2019,HÄAGEN-DAZS or GOODNORTH Ice Cream,$4.99,count,1
testing,9/19/2019,KELLOGG'S Cereal - 75 AIR MILES® Bonus Miles,$3.99,count,1
testing,9/19/2019,KRAFT Peanut Butter 750 g-1 kg or Jam 500 mL or NUTELLA Hazelnut Spread 375 g,$3.77,count,1
testing,9/19/2019,KRAFT Pizza Kit,$6.99,count,1
testing,9/19/2019,LAY'S Chips,$6.00,count,2
testing,9/19/2019,LECLERC Célébration Cookies,$2.79,count,1
testing,9/19/2019,LIPTON Soup,$2.29,count,1
testing,9/19/2019,LOU'S Quick-n-Easy Fully Cooked Entrées,$7.99,count,1
testing,9/19/2019,LÄRABAR Energy Bars,$10.00,count,10
testing,9/19/2019,MANITOBA HARVEST Hemp Hearts,$5.99,count,1
testing,9/19/2019,MAPLE LODGE FARMS Chicken Bacon,STARTING AT $3.99,count,1
testing,9/19/2019,MCCAIN Diced Hashbrowns,$1.99,count,1
testing,9/19/2019,MCSWEENEY'S Jerky,$4.99,count,1
testing,9/19/2019,MINUTE MAID 100% Juice - 5 AIR MILES® Bonus Miles,$3.49,count,1
testing,9/19/2019,MOOSEHEAD Lager,promo retail $14.45,count,1
testing,9/19/2019,NATURE VALLEY Sweet & Salty Bars,$1.99,count,1
testing,9/19/2019,Naturegg Simply Egg Whites - 6 AIR MILES® Bonus Miles,$3.79,count,1
testing,9/19/2019,Nestle Coffee-mate,$2.69,count,1
testing,9/19/2019,OLD DUTCH Dutch Crunch or Baked Chips,$6.00,count,2
testing,9/19/2019,OTEAS Tea Bags,reg $6.99            ea,count,1
testing,9/19/2019,PARIS PATÉ Spread,$4.98,count,3
testing,9/19/2019,PILLSBURY Pizza Pops - 20 AIR MILES® Bonus Miles,$5.00,count,2
testing,9/19/2019,PINTY'S Chicken Wings,$13.99,count,1
testing,9/19/2019,PLANTERS Dry Roasted Peanuts,$4.99,count,1
testing,9/19/2019,Peek Freans Cookies,$2.99,count,1
testing,9/19/2019,QUAKER Crispy Minis,$4.44,count,2
testing,9/19/2019,RESER'S Main St. Bistro Sides,STARTING AT $4.99,count,1
testing,9/19/2019,RICEWORKS Gourmet Rice Snacks,$2.99,count,1
testing,9/19/2019,Raw Pecans,$3.69,100,1
testing,9/19/2019,SAN PELLEGRINO Sparking Fruit Beverage,$5.49,count,1
testing,9/19/2019,SCHNEIDERS Sausages,$5.99,count,1
testing,9/19/2019,SENSATIONS BY COMPLIMENTS Balsamic Vinegar of Modena -10 AIR MILES® Bonus Miles,$8.99,count,1
testing,9/19/2019,SENSATIONS BY COMPLIMENTS Coffee K-Cup® Pods,$14.99,count,1
testing,9/19/2019,SENSATIONS BY COMPLIMENTS Ice Cream Bars,$4.99,count,1
testing,9/19/2019,SENSATIONS BY COMPLIMENTS Kettle Chips,$5.00,count,2
testing,9/19/2019,SENSATIONS BY COMPLIMENTS Pole N Line Tuna,$2.59,count,1
testing,9/19/2019,SENSIBLE PORTIONS Veggie Straws,$14.99,count,1
testing,9/19/2019,SMARTFOOD,$6.50,count,2
testing,9/19/2019,STEFANO Pasta or Pizza Sauce - 10 AIR MILES® Bonus Miles,STARTING AT $5.99,count,1
testing,9/19/2019,STELLA ARTOIS,promo retail $13.95,count,1
testing,9/19/2019,SWANSON Pot Pies - 10 AIR MILES® Bonus Miles,$4.00,count,2
testing,9/19/2019,SWISS CHALET BBQ Pork Back Ribs,$7.99,count,1
testing,9/19/2019,Stuffed Mushroom Caps,$4.99,lb,1
testing,9/19/2019,TIM HORTONS Soup,$6.00,count,2
testing,9/19/2019,TROPICANA Premium Orange Juice,$5.99,count,1
testing,9/19/2019,Trail Mix,$0.99,100,1
testing,9/19/2019,UNCLE BEN'S Converted Rice,$7.29,count,1
testing,9/19/2019,VACHON Snack Cakes - 10 AIR MILES® Bonus Miles,$5.00,count,2
testing,9/19/2019,WASA Light Rye Crispbread,$5.00,count,2
testing,9/19/2019,WATERLOO Craft Lager,retail $2.50,count,1
testing,9/19/2019,WILDLY DELICIOUS Cooking Sauces,$4.99,count,1
testing,9/19/2019,WONDERFUL Pistachios,$4.99,count,1
testing,9/19/2019,YVES VEGGIE CUISINE Veggie Hot Dogs,$3.49,count,1
testing,9/19/2019,Beef Chuck Short Ribs or Korean BBQ style,$7.99,lb,1
testing,9/19/2019,Beef Hip Stir-Fry,$6.99,lb,1
testing,9/19/2019,COMPLIMENTS BALANCE Ground Extra Lean Chicken,$4.99,count,1
testing,9/19/2019,COMPLIMENTS Fresh AIR-CHILLED Chicken Drumsticks,$2.99,lb,1
testing,9/19/2019,COMPLIMENTS Fresh AIR-CHILLED Split Chicken Wings,$4.99,lb,1
testing,9/19/2019,COMPLIMENTS Fresh AIR-CHILLED Whole Chicken,$1.99,count,1
testing,9/19/2019,Fresh Boneless Pork,$2.99,lb,1
testing,9/19/2019,Fresh Pork Side Ribs,$3.99            lb 8.8,count,1
testing,9/19/2019,JOHNSONVILLE Mild Italian Sausages,$4.99,count,1
testing,9/19/2019,LOU'S Sliced Boneless Cured Pork Loin,$4.99,count,1
testing,9/19/2019,Lean Ground Beef,$2.99,lb,1
testing,9/19/2019,OLYMEL Serrano Ham,100 g,count,"STARTING AT
$3.49¢

          "
testing,9/19/2019,SCHNEIDERS Pepperettes,$7.99,count,1
testing,9/19/2019,Asparagus product,$5.49,lb,1
testing,9/19/2019,Bartlett Pears,$1.99,lb,1
testing,9/19/2019,Brussels Sprouts,$3.49,lb,1
testing,9/19/2019,Bunch Carrots,$2.49,count,1
testing,9/19/2019,COMPLIMENTS ORGANIC Salad Blends,$8.00,count,2
testing,9/19/2019,Cabbage,$0.69,lb,1
testing,9/19/2019,Carrots,$5.00,count,2
testing,9/19/2019,Gala Apples,$1.29,lb,1
testing,9/19/2019,Hothouse Tomatoes,$1.49,lb,1
testing,9/19/2019,ORGANIC Cauliflower,$4.49,count,1
testing,9/19/2019,ORGANIC Red or Green Seedless Grapes,$3.49,lb,1
testing,9/19/2019,OXFORD Wild Blueberries,$8.99,count,1
testing,9/19/2019,Peaches,$5.99,count,1
testing,9/19/2019,Rutabaga,$0.99,lb,1
testing,9/19/2019,Squash,$0.99,lb,1
testing,9/19/2019,Strawberries,$5.00,count,2
testing,9/19/2019,100% Butter Pumpkin Cheese Danish,$4.49,count,1
testing,9/19/2019,Artisan Cranberry Pumpkin Seed Bread,$3.49,count,1
testing,9/19/2019,BAHLSEN Africa Dark Wafer Crisps,$3.49,count,1
testing,9/19/2019,BAXTER'S Pumpkin Pecan Tarts,$6.49,count,1
testing,9/19/2019,BAXTER'S Pumpkin Pepita Loaf Cake,$6.49,count,1
testing,9/19/2019,"COMPLIMENTS 9"" Pumpkin Pie",$6.99,count,1
testing,9/19/2019,DARE Econo Cookies,$1.99,count,1
testing,9/19/2019,DEMPSTER'S English Muffins,$1.99,count,1
testing,9/19/2019,DEMPSTER'S Tortillas - 10 AIR MILES® Bonus Miles,$3.99,count,1
testing,9/19/2019,French or Italian Bread,$1.99,count,1
testing,9/19/2019,Mini Croissants - 10 AIR MILES® Bonus Miles,$3.29,count,1
testing,9/19/2019,RUDOLPH'S Bavarian Bread,$2.49,count,1
testing,9/19/2019,VILLAGGIO Bread,$5.00,count,2
testing,9/19/2019,ARMSTRONG Cheese,$3.97,count,1
testing,9/19/2019,ARMSTRONG Cheese Snacks - 10 AIR MILES® Bonus Miles,$4.49,count,1
testing,9/19/2019,ASTRO Yogurt,$6.00,count,2
